5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Occ (%),Lane 2 Flow (Veh/5 Minutes),Lane 2 Occ (%),Lane 3 Flow (Veh/5 Minutes),Lane 3 Occ (%),# Lane Points_x,% Observed_x,Lane 1 Speed (mph),Lane 1 Q (mph),Lane 2 Speed (mph),Lane 2 Q (mph),Lane 3 Speed (mph),Lane 3 Q (mph),# Lane Points_y,% Observed_y,Station_ID,Station_Type,Latitude,Longitude,# Lane Points,% Observed,Lane 4 Flow (Veh/5 Minutes),Lane 4 Occ (%),Lane 4 Speed (mph),Lane 4 Q (mph)
2024-12-24 23:00:00,88,4.1,143.0,7.3,100.0,6.0,3.0,0.0,73.6,73.6,71.3,71.3,64.2,64.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:05:00,87,4.1,141.0,7.2,99.0,5.9,3.0,0.0,73.5,73.5,71.2,71.2,64.1,64.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:10:00,87,4.0,141.0,7.1,99.0,5.8,3.0,0.0,73.2,73.2,70.9,70.9,63.8,63.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:15:00,84,4.0,136.0,7.0,96.0,5.7,3.0,0.0,73.3,73.3,71.0,71.0,63.9,63.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:20:00,80,3.7,131.0,6.6,92.0,5.4,3.0,0.0,73.5,73.5,71.2,71.2,64.1,64.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:25:00,77,3.5,126.0,6.3,88.0,5.1,3.0,0.0,73.5,73.5,71.2,71.2,64.1,64.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:30:00,74,3.4,120.0,6.0,85.0,4.9,3.0,0.0,73.6,73.6,71.3,71.3,64.2,64.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:35:00,71,3.3,116.0,5.9,82.0,4.8,3.0,0.0,73.5,73.5,71.2,71.2,64.1,64.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:40:00,70,3.3,114.0,5.8,80.0,4.7,3.0,0.0,73.6,73.6,71.3,71.3,64.2,64.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:45:00,68,3.2,111.0,5.6,78.0,4.6,3.0,0.0,73.6,73.6,71.3,71.3,64.2,64.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:50:00,64,3.0,104.0,5.3,73.0,4.4,3.0,0.0,73.5,73.5,71.2,71.2,64.1,64.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-24 23:55:00,59,2.8,97.0,5.0,68.0,4.1,3.0,0.0,73.3,73.3,71.0,71.0,63.9,63.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
